frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
207,62.82,-0.00086,1.50755,-0.07148,-0.07650,1.21146,0.06243,-0.12257,1.22394,0.30778
208,59.58,-0.00086,1.50755,-0.07148,-0.07641,1.20953,0.05911,-0.12547,1.20531,0.30399
209,56.28,-0.00086,1.50755,-0.07148,-0.07631,1.20767,0.05580,-0.12835,1.18655,0.29901
210,52.92,-0.00086,1.50755,-0.07148,-0.07620,1.20586,0.05251,-0.13120,1.16783,0.29281
211,49.53,-0.00086,1.50755,-0.07148,-0.07609,1.20411,0.04922,-0.13397,1.14930,0.28536
212,46.14,-0.00086,1.50755,-0.07148,-0.07597,1.20241,0.04592,-0.13664,1.13116,0.27671
213,42.78,-0.00086,1.50755,-0.07148,-0.07585,1.20076,0.04261,-0.13918,1.11358,0.26691
214,39.47,-0.00086,1.50755,-0.07148,-0.07572,1.19914,0.03927,-0.14154,1.09673,0.25607
215,36.24,-0.00086,1.50755,-0.07148,-0.07558,1.19756,0.03591,-0.14372,1.08077,0.24434
216,33.13,-0.00086,1.50755,-0.07148,-0.07544,1.19602,0.03251,-0.14569,1.06583,0.23188
217,30.17,-0.00086,1.50755,-0.07148,-0.07529,1.19452,0.02909,-0.14744,1.05202,0.21890
218,27.37,-0.00086,1.50755,-0.07148,-0.07513,1.19306,0.02565,-0.14895,1.03939,0.20562
219,24.77,-0.00086,1.50755,-0.07148,-0.07496,1.19165,0.02220,-0.15025,1.02799,0.19227
220,22.36,-0.00086,1.50755,-0.07148,-0.07480,1.19029,0.01878,-0.15132,1.01779,0.17905
221,20.18,-0.00086,1.50755,-0.07148,-0.07463,1.18900,0.01539,-0.15219,1.00878,0.16617
222,18.21,-0.00086,1.50755,-0.07148,-0.07445,1.18778,0.01207,-0.15289,1.00088,0.15381
223,16.46,-0.00086,1.50755,-0.07148,-0.07428,1.18664,0.00884,-0.15341,0.99403,0.14210
224,14.92,-0.00086,1.50755,-0.07148,-0.07411,1.18558,0.00574,-0.15380,0.98813,0.13118
225,13.59,-0.00086,1.50755,-0.07148,-0.07394,1.18461,0.00279,-0.15408,0.98308,0.12111
226,12.45,-0.00086,1.50755,-0.07148,-0.07378,1.18372,0.00001,-0.15425,0.97880,0.11195
227,11.49,-0.00086,1.50755,-0.07148,-0.07363,1.18292,-0.00258,-0.15436,0.97519,0.10372
228,10.68,-0.00086,1.50755,-0.07148,-0.07349,1.18221,-0.00496,-0.15440,0.97216,0.09641
229,10.02,-0.00086,1.50755,-0.07148,-0.07336,1.18159,-0.00713,-0.15441,0.96963,0.08999
230,9.48,-0.00086,1.50755,-0.07148,-0.07324,1.18104,-0.00907,-0.15439,0.96753,0.08442
231,9.04,-0.00086,1.50755,-0.07148,-0.07313,1.18057,-0.01077,-0.15435,0.96580,0.07965
232,8.69,-0.00086,1.50755,-0.07148,-0.07304,1.18017,-0.01225,-0.15430,0.96438,0.07562
233,8.40,-0.00086,1.50755,-0.07148,-0.07296,1.17984,-0.01350,-0.15425,0.96324,0.07226
234,8.18,-0.00086,1.50755,-0.07148,-0.07289,1.17957,-0.01452,-0.15421,0.96232,0.06953
235,7.99,-0.00086,1.50755,-0.07148,-0.07284,1.17937,-0.01533,-0.15417,0.96161,0.06735
236,7.84,-0.00086,1.50755,-0.07148,-0.07280,1.17922,-0.01592,-0.15415,0.96107,0.06570
237,7.72,-0.00086,1.50755,-0.07148,-0.07278,1.17912,-0.01632,-0.15414,0.96069,0.06451
238,7.63,-0.00086,1.50755,-0.07148,-0.07276,1.17907,-0.01651,-0.15414,0.96045,0.06376
239,7.55,-0.00086,1.50755,-0.07148,-0.07276,1.17907,-0.01652,-0.15416,0.96035,0.06344
240,7.50,-0.00086,1.50755,-0.07148,-0.07277,1.17911,-0.01636,-0.15419,0.96037,0.06352
241,7.47,-0.00086,1.50755,-0.07148,-0.07279,1.17919,-0.01603,-0.15423,0.96052,0.06400
242,7.47,-0.00086,1.50755,-0.07148,-0.07283,1.17931,-0.01554,-0.15428,0.96080,0.06489
243,7.52,-0.00086,1.50755,-0.07148,-0.07287,1.17948,-0.01490,-0.15433,0.96121,0.06621
244,7.62,-0.00086,1.50755,-0.07148,-0.07292,1.17968,-0.01413,-0.15439,0.96178,0.06798
245,7.78,-0.00086,1.50755,-0.07148,-0.07297,1.17991,-0.01324,-0.15444,0.96252,0.07024
246,8.03,-0.00086,1.50755,-0.07148,-0.07304,1.18017,-0.01224,-0.15447,0.96345,0.07302
