subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s04,0.61000,1,18.29197,6.79755,0.19955,-0.47880,-3.38000,2.66000,3.99204,0.13384,0.06187,0.19199,0.05554,73.98325,26.14473,187.74961,12.47055,0.15756,0.12063,0.00000,0.08810,1.89630,1.56666,0.29236,0.29996
s04,0.62000,1,18.29380,6.79289,0.16440,-0.45325,-3.61750,2.49750,3.98899,0.13375,0.06182,0.19189,0.05550,73.93808,26.12077,187.63431,12.46056,0.16013,0.12259,0.00000,0.08954,1.89630,1.56666,0.29236,0.29996
s04,0.63000,1,18.29526,6.78848,0.12720,-0.42885,-3.78250,2.43750,3.98692,0.13369,0.06178,0.19182,0.05547,73.91070,26.10276,187.55994,12.45339,0.16270,0.12456,0.00000,0.09097,1.89630,1.56666,0.29236,0.29996
s04,0.64000,1,18.29634,6.78432,0.08875,-0.40450,-3.88000,2.49750,3.98594,0.13367,0.06176,0.19180,0.05545,73.90230,26.09134,187.53017,12.44930,0.16527,0.12652,0.00000,0.09241,1.89630,1.56666,0.29236,0.29996
s04,0.65000,1,18.29704,6.78039,0.04960,-0.37890,-3.91250,2.68750,3.98609,0.13369,0.06175,0.19184,0.05545,73.91366,26.08700,187.54752,12.44847,0.16784,0.12848,0.00000,0.09384,1.89630,1.56666,0.29236,0.29996
s04,0.66000,1,18.29734,6.77674,0.01050,-0.35075,-3.87000,3.01250,3.98740,0.13374,0.06177,0.19192,0.05547,73.94510,26.09010,187.61323,12.45102,0.17041,0.13045,0.00000,0.09528,1.89630,1.56666,0.29236,0.29996
s04,0.67000,1,18.29725,6.77338,-0.02780,-0.31865,-3.75750,3.47250,3.98988,0.13382,0.06180,0.19205,0.05550,73.99643,26.10083,187.72718,12.45699,0.17298,0.13241,0.00000,0.09672,1.89630,1.56666,0.29236,0.29996
s04,0.68000,1,18.29678,6.77036,-0.06465,-0.28130,-3.58000,4.06250,3.99349,0.13395,0.06185,0.19223,0.05554,74.06699,26.11920,187.88791,12.46634,0.17556,0.13438,0.00000,0.09816,1.89630,1.56666,0.29236,0.29996
s04,0.69000,1,18.29595,6.76775,-0.09940,-0.23740,-3.34000,4.78000,3.99817,0.13411,0.06192,0.19247,0.05560,74.15561,26.14506,188.09249,12.47893,0.17814,0.13635,0.00000,0.09960,1.89630,1.56666,0.29236,0.29996
s04,0.70000,1,18.29479,6.76562,-0.13145,-0.18570,-3.04000,5.60500,4.00383,0.13430,0.06200,0.19274,0.05568,74.26061,26.17805,188.33673,12.49456,0.18072,0.13833,0.00000,0.10104,1.89630,1.56666,0.29236,0.29996
s04,0.71000,1,18.29332,6.76404,-0.16020,-0.12530,-2.69000,6.52000,4.01035,0.13452,0.06211,0.19306,0.05577,74.37988,26.21781,188.61497,12.51292,0.18331,0.14030,0.00000,0.10249,1.89630,1.56666,0.29236,0.29996
s04,0.72000,1,18.29159,6.76311,-0.18525,-0.05530,-2.30250,7.51250,4.01759,0.13476,0.06222,0.19340,0.05587,74.51040,26.26657,188.91850,12.53352,0.18591,0.14228,0.00000,0.10393,1.89630,1.56666,0.29236,0.29996
s04,0.73000,1,18.28962,6.76293,-0.20625,0.02495,-1.87750,8.55250,4.02538,0.13502,0.06235,0.19377,0.05598,74.64736,26.31922,189.24563,12.55609,0.18851,0.14427,0.00000,0.10538,1.89630,1.56666,0.29236,0.29996
s04,0.74000,1,18.28746,6.76361,-0.22280,0.11575,-1.42750,9.61500,4.03353,0.13529,0.06249,0.19415,0.05609,74.78384,26.37250,189.59409,12.58021,0.19111,0.14626,0.00000,0.10684,1.89630,1.56666,0.29236,0.29996
s04,0.75000,1,18.28516,6.76525,-0.23480,0.21725,-0.97250,10.67250,4.04184,0.13556,0.06262,0.19454,0.05620,74.92158,26.42846,189.94613,12.60526,0.19372,0.14825,0.00000,0.10830,1.89630,1.56666,0.29236,0.29996
s04,0.76000,1,18.28277,6.76795,-0.24225,0.32920,-0.51500,11.68500,4.05011,0.13583,0.06276,0.19492,0.05632,75.05712,26.48591,190.29218,12.63069,0.19634,0.15025,0.00000,0.10976,1.89630,1.56666,0.29236,0.29996
