time,r_shoulder_elev,r_elbow_flex,rep,phase,fatigue_level,target_elbow_deg,flexion_duration_s,extension_duration_s,perturbation_deg,elbow_velocity_deg_s,elbow_acceleration_deg_s2,elbow_jerk_deg_s3
121.63,20.0,46.97052074689051,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.2741635863069728,-60.250553385260375,-812.9169803713943,-3770.6746534746926
121.64,20.0,46.173741396082626,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.43131283038076085,-73.11459929649722,-60.45394993419606,93554.3320886074
121.65,20.0,45.50822876096056,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.4618981868276908,-61.459632383944296,1058.169661400754,56206.9869877444
121.66,20.0,44.94454874840374,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.3955397185271722,-51.951206068482136,1063.685789820692,-13413.996352705124
121.67,20.0,44.46920463959092,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.24591775222599999,-40.18591658753046,789.8897343466515,-54984.79700954918
121.68,20.0,44.14083041665313,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.045420546524052446,-36.153411381549105,-36.01015037029143,-19076.360971431503
121.69,20.0,43.74613641195994,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.2650069210624786,-40.906119594936285,408.3625149180214,-39435.64391312116
121.7,20.0,43.322708024754405,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.4502508386644348,-27.986161083188676,-824.7230286327145,-157812.04394557947
121.71,20.0,43.186413190296165,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.9168470580937675,-57.400580167590576,-2747.8783639935677,35138.731676319425
121.72,20.0,42.174696421402594,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.5020697695536753,-82.94372836306003,-121.94839510632605,157738.73177538888
121.73,20.0,41.527538623034964,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.4457325076829297,-59.8395480697171,406.8962715142099,-76898.16754142687
