subj,time,RSh_x,RSh_y,RSh_z,REl_x,REl_y,REl_z,RWr_x,RWr_y,RWr_z,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand
s09,1.15,-0.021726411444015045,1.2688960575350792,-0.11832310642141705,-0.13298695502657765,1.0326597862471119,-0.13458359964752784,-0.2290345962041911,0.8261001767614431,-0.1305084098088992,4.80932,0.16718,0.05632,0.28755,0.06854,95.23012,23.28805,280.3591,15.25616,0.47094,0.34167,0.0,0.25324
s09,1.16,-0.0218463670319879,1.2689344529702848,-0.11851649367703038,-0.13305178003207374,1.0326388404943856,-0.1343449323186765,-0.2290258373059666,0.8259860373468189,-0.13033551728765,4.81127,0.16727,0.05639,0.2879,0.0686,95.24128,23.31443,280.51635,15.26366,0.47516,0.34473,0.0,0.2555
s09,1.17,-0.021896020040153313,1.268869221047624,-0.11862410438201598,-0.13308339601737515,1.0325962600842706,-0.13414935210548795,-0.22901218557943331,0.8257530247605045,-0.13013580489604815,4.81147,0.16733,0.05646,0.28813,0.06864,95.23099,23.33661,280.55767,15.26738,0.47937,0.34779,0.0,0.25777
s09,1.18,-0.021945673048318723,1.2688039891249632,-0.1187317150870016,-0.13311501200267656,1.0325536796741557,-0.13395377189229937,-0.22899853385290003,0.82552001217419,-0.1299360925044463,4.80988,0.16737,0.05651,0.28822,0.06866,95.2294,23.3522,280.46204,15.2661,0.48359,0.35085,0.0,0.26004
s09,1.19,-0.021936279862982418,1.2686533727698466,-0.11876547422609371,-0.1331006679303581,1.032502250124587,-0.13378285125661252,-0.228941116152444,0.8253278922977155,-0.1297652760959493,4.80642,0.16735,0.05654,0.28818,0.06866,95.20025,23.36212,280.24715,15.26059,0.4878,0.35391,0.0,0.26231
s09,1.2,-0.021926886677646116,1.26850275641473,-0.11879923336518582,-0.13308632385803965,1.0324508205750185,-0.13361193062092566,-0.22888369845198797,0.825135772421241,-0.12959445968745228,4.80104,0.16726,0.05655,0.288,0.06863,95.12659,23.3575,279.9321,15.24982,0.49201,0.35697,0.0,0.26458
s09,1.21,-0.021876084184278194,1.2683632805387726,-0.1189259962251992,-0.13301091302967788,1.0324231906709702,-0.1334535527370968,-0.22878571648375062,0.8250975876030069,-0.12941979337039095,4.79372,0.16708,0.05651,0.28766,0.06857,95.00559,23.33682,279.5184,15.23349,0.49621,0.36002,0.0,0.26684
s09,1.22,-0.021825281690910275,1.268223804662815,-0.1190527590852126,-0.13293550220131609,1.032395560766922,-0.13329517485326794,-0.22868773451551327,0.8250594027847726,-0.1292451270533296,4.78444,0.16684,0.05645,0.28718,0.06848,94.85423,23.30891,278.98119,15.21221,0.50041,0.36307,0.0,0.2691
s09,1.23,-0.021763418778409482,1.26816604487649,-0.11930213348259591,-0.13281224190222113,1.0324110424882016,-0.13316953817174246,-0.2285826187483875,0.8251433267347069,-0.12900817069621762,4.77318,0.16654,0.05637,0.28657,0.06837,94.67179,23.27322,278.32154,15.18578,0.5046,0.36611,0.0,0.27135
s09,1.24,-0.021701555865908686,1.2681082850901653,-0.11955150787997923,-0.13268898160312614,1.0324265242094814,-0.13304390149021697,-0.22847750298126174,0.8252272506846412,-0.12877121433910566,4.75996,0.16619,0.05628,0.28583,0.06824,94.45773,23.22922,277.54169,15.15404,0.50877,0.36914,0.0,0.27359
s09,1.25,-0.02167249560665341,1.268116224327743,-0.11981752281944028,-0.13257068603357902,1.0324809580495264,-0.1329826152573897,-0.22837878129224715,0.8253254637831214,-0.12845541572628968,4.7448,0.16577,0.05616,0.28495,0.06808,94.21175,23.17641,276.64518,15.11684,0.51293,0.37216,0.0,0.27583
s09,1.26,-0.021643435347398137,1.2681241635653209,-0.12008353775890133,-0.1324523904640319,1.0325353918895717,-0.13292132902456238,-0.22828005960323258,0.8254236768816017,-0.1281396171134737,4.72775,0.16529,0.05601,0.28395,0.06789,93.93387,23.11438,275.63711,15.0741,0.51706,0.37516,0.0,0.27806
s09,1.27,-0.02165833529154794,1.2681477261997411,-0.12031009962152428,-0.1323771098628591,1.0326219190503705,-0.1329504527723448,-0.22817679399148516,0.8254832124474933,-0.12778920508445055,4.70889,0.16475,0.05582,0.28283,0.06766,93.62594,23.03494,274.53129,15.02381,0.52119,0.37815,0.0,0.28028
s09,1.28,-0.021673235235697745,1.2681712888341612,-0.12053666148414721,-0.13230182926168635,1.0327084462111693,-0.1329795765201272,-0.22807352837973777,0.8255427480133851,-0.12743879305542738,4.68833,0.16415,0.05563,0.28159,0.06742,93.28622,22.95348,273.3228,14.96997,0.52529,0.38113,0.0,0.28248
s09,1.29,-0.021698971982175595,1.2681738918974372,-0.1207177804566317,-0.13225470087196792,1.0328142099508177,-0.1331060953403288,-0.22796703293477757,0.8256020805842318,-0.12719167391282638,4.66621,0.16349,0.05541,0.28025,0.06715,92.91769,22.86234,272.02949,14.91088,0.52936,0.38409,0.0,0.28468
s09,1.3,-0.021724708728653442,1.268176494960713,-0.12089889942911619,-0.13220757248224949,1.0329199736904662,-0.13323261416053037,-0.22786053748981738,0.8256614131550785,-0.12694455477022537,4.64274,0.16278,0.05517,0.27882,0.06686,92.52274,22.76165,270.66491,14.84679,0.53342,0.38703,0.0,0.28686
s09,1.31,-0.021730356940581036,1.2681485161495427,-0.12100717825067583,-0.13215743648261205,1.0329892271746686,-0.13342805720811207,-0.22776514462122388,0.8257586640829049,-0.1269663456902916,4.61813,0.16202,0.0549,0.27732,0.06654,92.10447,22.65182,269.24483,14.77815,0.53745,0.38996,0.0,0.28903
s09,1.32,-0.021736005152508626,1.2681205373383722,-0.12111545707223548,-0.13210730048297462,1.033058480658871,-0.1336235002556938,-0.22766975175263038,0.8258559150107312,-0.12698813661035785,4.59266,0.16121,0.05459,0.27576,0.0662,91.66776,22.52735,267.79249,14.70404,0.54145,0.39287,0.0,0.29118
