time,r_humerus_u_noisy,r_humerus_v_noisy,r_humerus_depth,r_ulna_radius_hand_u_noisy,r_ulna_radius_hand_v_noisy,r_ulna_radius_hand_depth,load_2kg_u_noisy,load_2kg_v_noisy,load_2kg_depth,center_of_mass_u_noisy,center_of_mass_v_noisy,center_of_mass_depth,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
5.8,511.3330972448708,4682.664052246546,0.17,555.3103883275338,2801.808678259888,0.15770003,720.3880080254473,1348.6495667439053,0.23970005,619.5053065153871,2704.207599704297,0.19232462,0.012471165,0.0112563266666666,0.01214634,6.4963276775,6.177024496666667,8.114635646666667,0.8296468,0.46905219,0.0,-0.00018976
5.81,513.8402458559399,4683.881830675941,0.17,555.6657503419383,2801.99903873293,0.15770004,722.091957839401,1347.3936992130054,0.23970007,619.7118624680295,2704.5613438844866,0.19232462,0.0124726024999999,0.0112561433333333,0.0121473466666666,6.4972926475,6.176906136666666,8.11533642,0.8307122,0.4695884,0.0,-0.000234
5.82,515.5653833361663,4684.388978998691,0.17,553.8213125549786,2804.60688225921,0.15770004,725.6226656878814,1349.3319318015551,0.23970007,623.3454436143619,2703.9375110153073,0.19232463,0.01247428,0.0112559299999999,0.0121485233333333,6.49840355,6.1767768966666665,8.116153226666666,0.83195003,0.47021349,0.0,-0.00025748
5.83,514.0086751336169,4683.274210867737,0.17,557.6249509978119,2801.326750266838,0.15770004,723.9265084831029,1345.613271760531,0.23970007,622.7055765915386,2707.53555781639,0.19232462,0.0124760199999999,0.01125571,0.0121497333333333,6.4995653425,6.176653616666666,8.116998543333333,0.83322783,0.47086145,0.0,-0.00024659
5.84,517.5817341417319,4682.826133620729,0.17,551.6755505329779,2801.5044942844684,0.15770003,723.1332747232639,1351.0818008067788,0.23970005,622.1056491649891,2709.686685473944,0.19232462,0.0124775675,0.0112555166666666,0.01215081,6.500586845,6.176624556666667,8.117746936666666,0.83434786,0.47143317,0.0,-0.00018738
5.85,520.1475342379665,4685.246788778257,0.17,557.1571524514322,2805.325858961806,0.15770001,721.0281727480536,1348.654961097757,0.23970002,622.450670624338,2707.6583199056217,0.1923246,0.0124785625,0.0112553899999999,0.0121514933333333,6.501223982499999,6.17663708,8.118223369999999,0.83505229,0.47179899,0.0,-6.779e-05
5.86,513.7997117376119,4684.128058911556,0.17,554.4500692263302,2803.2013598037756,0.15769998,720.6692827268117,1348.2819178923642,0.23969997,617.9906105294118,2704.8769115189934,0.19232457,0.012478595,0.0112553899999999,0.0121515033333333,6.501204582500001,6.176742083333334,8.11823065,0.83504136,0.47180767,0.0,0.00011947
5.87,514.4780143683001,4682.263613814921,0.17,555.6003103361368,2805.4451109205625,0.15769994,723.4420057881451,1348.9624020529066,0.2396999,620.5808620124305,2706.428821888092,0.19232453,0.01247725,0.0112555666666666,0.01215055,6.5002481325,6.17696222,8.117564786666666,0.8340075,0.47130338,0.0,0.0003737
5.88,516.6238379130904,4683.633092852188,0.17,552.28688975386,2802.816283859867,0.15769989,724.2983654567315,1348.9036980458939,0.23969981,618.6350629995188,2705.876421236617,0.19232449,0.0124741675,0.0112559566666666,0.0121483766666666,6.498116715,6.177310383333334,8.116051203333333,0.83168667,0.47015148,0.0,0.00068278
5.89,519.3751734734698,4684.323985104136,0.17,554.6240291117788,2803.5335184340743,0.15769984,723.3240309845944,1351.521258863147,0.23969971,617.9554044552568,2704.792528699062,0.19232444,0.012469135,0.0112565933333333,0.0121448433333333,6.4946786825,6.17778297,8.113590553333333,0.82792647,0.46827279,0.0,0.00102035
