time,r_humerus_X,r_humerus_Y,r_humerus_Z,r_ulna_radius_hand_X,r_ulna_radius_hand_Y,r_ulna_radius_hand_Z,load_2kg_X,load_2kg_Y,load_2kg_Z,center_of_mass_X,center_of_mass_Y,center_of_mass_Z,act_biceps,act_triceps,act_deltoid,force_biceps,force_triceps,force_deltoid,id_shoulder_moment,id_elbow_moment,q_shoulder,q_elbow
0.39,-0.017545,0.612504,0.17,0.01734683,0.32342584,0.15619047,0.06511689,0.20531123,0.23701373,0.02299277,0.37950737,0.19090047,0.02566014,0.01020384,0.018579013333333335,14.606626384999998,6.546258403333333,12.757677309999998,3.92425125,2.75697644,0.0,9.14739382
0.4,-0.017545,0.612504,0.17,0.01922392,0.32373849,0.1560861,0.06826148,0.20608964,0.23682955,0.02469112,0.37988458,0.19080258,0.0263312625,0.010207746666666668,0.018823086666666666,14.945426735,6.5838355,12.919535699999999,3.98476455,2.83631373,0.0,9.74949154
0.41,-0.017545,0.612504,0.17,0.02115809,0.32408193,0.15597778,0.07149891,0.20692787,0.23663858,0.02644009,0.3802927,0.19070105,0.026972267499999997,0.010204596666666666,0.01901176,15.2750632275,6.617575173333333,13.04914021,4.0449061,2.91712146,0.0,10.37105554
0.42,-0.017545,0.612504,0.17,0.02314798,0.32445796,0.1558655,0.0748266,0.20782875,0.23644084,0.02823833,0.38073329,0.1905959,0.0276323375,0.010201613333333333,0.019201393333333334,15.6111515525,6.65125248,13.179008943333331,4.10466113,2.99936255,0.0,11.01182624
0.43,-0.017545,0.612504,0.17,0.02519206,0.32486832,0.15574929,0.07824174,0.20879509,0.23623638,0.03008437,0.38120789,0.19048713,0.028311830000000003,0.010198796666666668,0.019392373333333334,15.953654547500001,6.684804819999999,13.309366403333334,4.16401318,3.08299379,0.0,11.67151825
0.44,-0.017545,0.612504,0.17,0.02728869,0.3253148,0.15562914,0.08174132,0.20982967,0.23602524,0.03197662,0.38171803,0.19037477,0.029011362500000002,0.010196113333333333,0.019585209999999995,16.30263516,6.71816197,13.440502883333332,4.22294462,3.16796601,0.0,12.3498212
0.45,-0.017545,0.612504,0.17,0.02943611,0.32579914,0.1555051,0.08532211,0.21093521,0.23580747,0.03391339,0.38226522,0.19025884,0.0298300425,0.010207736666666668,0.01991052,16.6875940175,6.75910147,13.649584753333334,4.28143702,3.25422413,0.0,13.0464004
0.46,-0.017545,0.612504,0.17,0.03163244,0.32632304,0.15537718,0.08898069,0.21211438,0.23558316,0.03589288,0.38285093,0.19013939,0.0306430275,0.010216246666666666,0.02020622,17.0710252225,6.798072043333334,13.841654526666666,4.3394717,3.34170733,0.0,13.76089769
0.47,-0.017545,0.612504,0.17,0.03387568,0.32688819,0.15524544,0.09271344,0.21336977,0.23535237,0.03791317,0.3834766,0.19001646,0.0315331125,0.01023255,0.020581363333333335,17.4781240175,6.841046526666666,14.081878269999999,4.39703013,3.43034922,0.0,14.4929321
0.48,-0.017545,0.612504,0.17,0.0361637,0.32749623,0.1551099,0.09651656,0.21470387,0.23511522,0.03997226,0.38414361,0.18989009,0.031260395,0.010069246666666667,0.019572163333333333,17.5449551375,6.782691136666666,13.477249003333334,4.45409436,3.52007802,0.0,15.24210071
0.49,-0.017545,0.612504,0.17,0.03849429,0.32814873,0.15497062,0.10038605,0.21611906,0.23487181,0.04206803,0.3848533,0.18976034,0.0320523125,0.010067683333333334,0.019780043333333334,17.9142437575,6.81437282,13.609059343333334,4.51064737,3.61081671,0.0,16.00797932
0.5,-0.017545,0.612504,0.17,0.04086509,0.32884721,0.15482767,0.10431775,0.21761763,0.23462227,0.04419828,0.38560694,0.18962727,0.0328393975,0.010066213333333332,0.01996839,18.2836443225,6.8455913200000005,13.732139423333331,4.5666734,3.70248323,0.0,16.79012326
0.51,-0.017545,0.612504,0.17,0.04327368,0.32959312,0.15468111,0.10830732,0.2192017,0.23436672,0.0463607,0.38640573,0.18949095,0.033639340000000004,0.01006481,0.020160256666666668,18.6552265575,6.876300133333333,13.857118173333333,4.62215827,3.79499078,0.0,17.58806811
0.52,-0.017545,0.612504,0.17,0.04571752,0.33038783,0.15453101,0.11235028,0.22087326,0.23410533,0.04855292,0.38725081,0.18935146,0.034257845,0.010064039999999998,0.020011476666666667,19.00152589,6.906700636666667,13.82099496,4.67708971,3.888248,0.0,18.40133052
0.53,-0.017545,0.612504,0.17,0.04819397,0.33123261,0.15437746,0.11644201,0.22263414,0.23383824,0.05077247,0.3881432,0.18920888,0.035055632499999996,0.010062773333333332,0.020164363333333334,19.3730391025,6.936260613333334,13.923513793333333,4.73145758,3.98215931,0.0,19.22940891
0.54,-0.017545,0.612504,0.17,0.05070033,0.33212866,0.15422056,0.12057772,0.22448599,0.23356564,0.05301682,0.38908385,0.18906331,0.03586704,0.010062116666666667,0.020312933333333335,19.74546457,6.96549064,14.02290663,4.78525402,4.07662513,0.0,20.07178425
0.55,-0.017545,0.612504,0.17,0.05323379,0.33307704,0.15406039,0.12475255,0.22643026,0.23328772,0.05528335,0.39007363,0.18891484,0.036678550000000004,0.010060983333333334,0.020462173333333333,20.117444585,6.993753823333333,14.122566936666667,4.83847369,4.17154227,0.0,20.92792083
0.56,-0.017545,0.612504,0.17,0.05579149,0.33407873,0.15389707,0.12896148,0.22846823,0.23300468,0.05756941,0.39111326,0.18876357,0.03746734,0.01006096,0.020557263333333336,20.4843786525,7.021928243333334,14.193481286666666,4.89111391,4.26680423,0.0,21.79726701
0.57,-0.017545,0.612504,0.17,0.05837048,0.33513457,0.15373071,0.13319942,0.23060095,0.23271672,0.05987227,0.39220337,0.18860962,0.03830413,0.010060056666666666,0.020725126666666666,20.857123655,7.048812216666666,14.30157707,4.94317474,4.3623016,0.0,22.67925598
0.58,-0.017545,0.612504,0.17,0.06096778,0.33624529,0.15356143,0.13746119,0.23282925,0.23242408,0.06218916,0.3933445,0.1884531,0.0391256775,0.010060086666666667,0.020860813333333336,21.2255114825,7.075446656666667,14.392706249999998,4.99465904,4.45792242,0.0,23.57330653
0.59,-0.017545,0.612504,0.17,0.06358033,0.33741148,0.15338936,0.14174154,0.23515373,0.23212699,0.06451726,0.39453702,0.18829415,0.039960205,0.010060033333333333,0.021015303333333336,21.59370212,7.101200899999999,14.493348913333334,5.04557248,4.55355257,0.0,24.47882377
0.6,-0.017545,0.612504,0.17,0.06620505,0.3386336,0.15321464,0.14603518,0.23757477,0.2318257,0.06685375,0.3957812,0.18813288,0.0407758575,0.010060493333333332,0.021139286666666663,21.9566130025,7.126413286666666,14.577701730000001,5.09592344,4.64907616,0.0,25.39519996
0.61,-0.017545,0.612504,0.17,0.06883881,0.33991196,0.15303741,0.15033674,0.24009247,0.23152048,0.06919574,0.39707717,0.18796945,0.0415948175,0.010059793333333332,0.021272033333333332,22.317617730000002,7.15002976,14.666124453333333,5.145723,4.744376,0.0,26.32181519
0.62,-0.017545,0.612504,0.17,0.07147846,0.34124672,0.15285782,0.15464088,0.2427067,0.23121159,0.07154036,0.39842493,0.18780398,0.04231682,0.010060266666666666,0.021261326666666667,22.66284839,7.173487833333333,14.680325903333333,5.19498486,4.83933404,0.0,27.25803819
0.63,-0.017545,0.612504,0.17,0.07412084,0.3426379,0.15267602,0.15894222,0.24541708,0.23089932,0.07388472,0.39982434,0.18763663,0.043156105,0.010061773333333334,0.021427473333333336,23.019774299999998,7.196595380000001,14.785319326666666,5.24372521,4.93383183,0.0,28.20322708
0.64,-0.017545,0.612504,0.17,0.07676278,0.34408535,0.15249219,0.16323538,0.24822293,0.23058394,0.07622592,0.40127511,0.18746756,0.043986677499999995,0.010065143333333334,0.02158979333333334,23.371945467499998,7.2199200066666664,14.88877932666667,5.29196259,5.027751,0.0,29.15673009
0.65,-0.017545,0.612504,0.17,0.07940111,0.34558879,0.15230648,0.16751504,0.25112334,0.23026577,0.0785611,0.40277682,0.18729692,0.044814700000000006,0.010067923333333333,0.02176096333333333,23.7202575175,7.24189564,14.99680542,5.33971766,5.12097375,0.0,30.11788637
0.66,-0.017545,0.612504,0.17,0.08203267,0.34714774,0.15211907,0.1717759,0.25411711,0.22994511,0.08088738,0.40432889,0.18712487,0.0456020275,0.010067503333333333,0.02187788,24.059329927500002,7.26085591,15.075262063333334,5.38701298,5.21338329,0.0,31.08602671
0.67,-0.017545,0.612504,0.17,0.08465433,0.34876159,0.15193013,0.17601271,0.25720278,0.22962226,0.08320195,0.40593061,0.18695158,0.046418875,0.010073176666666668,0.022061113333333337,24.3980685175,7.282650180000001,15.190333729999999,5.43387271,5.3048643,0.0,32.06047432
0.68,-0.017545,0.612504,0.17,0.08726298,0.35042957,0.15173986,0.18022033,0.26037863,0.22929755,0.085502,0.40758112,0.18677722,0.04724099749999999,0.01008085,0.022275916666666663,24.7336250525,7.304696006666667,15.323291623333333,5.48032232,5.39530345,0.0,33.0405456
0.69,-0.017545,0.612504,0.17,0.08985557,0.35215074,0.15154842,0.18439366,0.26364264,0.22897131,0.08778479,0.4092794,0.18660196,0.0480077025,0.010085496666666666,0.022412366666666666,25.056958027500002,7.323799076666667,15.412935446666667,5.5263883,5.48458981,0.0,34.02555085
0.7,-0.017545,0.612504,0.17,0.09242908,0.35392399,0.15135603,0.18852777,0.26699257,0.22864386,0.09004762,0.41102432,0.18642598,0.0487501275,0.010085416666666668,0.02252433666666667,25.3723299575,7.338766363333334,15.488241803333333,5.57209777,5.57261532,0.0,35.01479507
0.71,-0.017545,0.612504,0.17,0.09498058,0.35574807,0.15116286,0.1926178,0.27042588,0.22831553,0.09228787,0.41281456,0.18624945,0.049534822500000006,0.010096236666666666,0.022746653333333335,25.6897088825,7.359703213333333,15.626544363333332,5.61747821,5.65927522,0.0,36.00757873
0.72,-0.017545,0.612504,0.17,0.09750717,0.35762156,0.15096911,0.19665905,0.2739398,0.22798666,0.09450298,0.41464871,0.18607256,0.0503048875,0.01010914,0.022973579999999997,26.000878985000003,7.380948223333334,15.768344163333333,5.66255711,5.74446857,0.0,37.00319848
0.73,-0.017545,0.612504,0.17,0.10000606,0.35954291,0.15077497,0.20064699,0.27753129,0.22765759,0.09669046,0.4165252,0.18589548,0.0503079075,0.010048816666666667,0.021975543333333333,26.205101380000002,7.353418319999999,15.241702403333335,5.70736168,5.82809859,0.0,38.00094796
0.74,-0.017545,0.612504,0.17,0.10247455,0.36151039,0.15058065,0.20457724,0.2811971,0.22732864,0.09884793,0.41844232,0.1857184,0.0510085375,0.01004866,0.022086586666666668,26.493987337500002,7.363767566666667,15.31332793,5.75191855,5.91007317,0.0,39.00011852
0.75,-0.017545,0.612504,0.17,0.10491001,0.36352215,0.15038634,0.20844561,0.28493372,0.22700016,0.10097309,0.42039827,0.1855415,0.051683269999999996,0.01004853,0.022190723333333332,26.774498285,7.373000273333333,15.38193338,5.79625341,5.99030521,0.0,40.0
0.76,-0.017545,0.612504,0.17,0.10730994,0.36557618,0.15019224,0.21224809,0.28873743,0.22667248,0.10306374,0.42239108,0.18536495,0.05233493499999999,0.010048433333333334,0.02229046,27.046877525,7.38110975,15.44856574,5.84039073,6.06871297,0.0,40.99988148
0.77,-0.017545,0.612504,0.17,0.10967193,0.36767037,0.14999855,0.21598091,0.2926043,0.22634594,0.10511781,0.4244187,0.18518893,0.0529719525,0.010048396666666667,0.022395253333333334,27.312009275,7.388110216666667,15.517555513333333,5.88435345,6.14522047,0.0,41.99905204
0.78,-0.017545,0.612504,0.17,0.11199371,0.36980245,0.14980545,0.21964048,0.2965302,0.22602085,0.10713332,0.42647895,0.18501363,0.0535962775,0.010048436666666667,0.022509,27.570111569999998,7.3940177899999995,15.590839293333332,5.92816282,6.21975782,0.0,42.99680152
0.79,-0.017545,0.612504,0.17,0.11427312,0.37197005,0.14961315,0.22322347,0.3005108,0.22569755,0.10910841,0.42856956,0.18483922,0.054192447500000004,0.0100485,0.022615023333333335,27.819492275,7.398791936666666,15.660678643333332,5.97183805,6.29226147,0.0,43.99242126
0.8,-0.017545,0.612504,0.17,0.11650815,0.37417068,0.14942183,0.22672676,0.30454162,0.22537635,0.11104137,0.43068816,0.18466586,0.0547943825,0.0100487,0.022732603333333334,28.08624178,7.4025155666666675,15.736707260000003,6.01539617,6.36267452,0.0,44.98520491
0.81,-0.017545,0.612504,0.17,0.1186969,0.37640174,0.14923169,0.23014751,0.308618,0.22505757,0.1129306,0.43283229,0.18449373,0.055450877499999995,0.010049043333333334,0.022849893333333333,28.449063872500002,7.405200293333333,15.814985956666666,6.0588518,6.43094691,0.0,45.97444913
0.82,-0.017545,0.612504,0.17,0.12083763,0.37866055,0.14904291,0.2334831,0.31273515,0.2247415,0.11477463,0.43499941,0.184323,0.056078405000000005,0.0100494,0.02296723666666667,28.7979076575,7.406764616666667,15.893379793333333,6.10221705,6.49703567,0.0,46.95945437
