time,theta_s,theta_e,theta_s_ref,theta_e_ref,emg_biceps,emg_triceps,emg_deltoid,emg_biceps_fn,emg_triceps_fn,emg_deltoid_fn,load_kg,condition,trial_id,subject_id,emg_biceps_rms,emg_triceps_rms,emg_deltoid_rms,emg_biceps_var,emg_triceps_var,emg_deltoid_var,cci_s,cci_e,nmi
22.68,0.0,2e-08,0.0,0.0,0.01240374,0.011256450000000001,0.0126403,0.0124701725,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742500000252,0.011256450000000001,0.0126403,5.818159543079584e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693733208823,0.757408161358489
22.69,0.0,2e-08,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742500000252,0.011256450000000001,0.0126403,5.818159543079584e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693733208823,0.757408161358489
22.7,0.0,1e-08,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742750000248,0.011256450000000001,0.0126403,5.193159674047217e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693632678245,0.7574081573039325
22.71,0.0,0.0,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.01240374275000025,0.011256450000000001,0.0126403,5.193159674047217e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693632678243,0.7574081572705991
22.72,0.0,-0.0,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.01240374275000025,0.011256450000000001,0.0126403,5.193159674047217e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693632678243,0.7574081572705991
22.73,0.0,-0.0,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742750000248,0.011256450000000001,0.0126403,5.193159674047217e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693632678245,0.7574081572705992
22.74,0.0,-1e-08,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403742750000248,0.011256450000000001,0.0126403,5.193159674047217e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693632678245,0.7574081573039325
22.75,0.0,-1e-08,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403743000000241,0.011256450000000001,0.0126403,3.3181598050068724e-19,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693532147669,0.7574081532827095
22.76,0.0,-1e-08,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403743250000229,0.011256450000000001,0.0126403,5.687500006349215e-18,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693431617097,0.7574081492614866
22.77,0.0,-0.0,0.0,0.0,0.012403745,0.011256450000000001,0.0126403,0.012470175000000002,0.011256450000000001,0.01214564,2.0,loaded_reaching,0,1,0.012403743500000211,0.011256450000000001,0.0126403,5.250000006346423e-18,2.7310455866394555e-20,3.945303188038381e-18,0.9420510299086734,0.9514693331086532,0.7574081452069307
